Trial,n, Run Time(ms)
0,100,19
0,200,4
0,300,7
0,400,10
0,500,13
0,600,15
0,700,16
0,800,20
0,900,23
0,1000,27
0,1100,68
0,1200,83
0,1300,94
0,1400,80
0,1500,113
0,1600,105
0,1700,134
0,1800,132
0,1900,149
0,2000,146
0,2100,167
0,2200,165
0,2300,190
0,2400,195
0,2500,205
0,2600,226
0,2700,263
0,2800,283
0,2900,302
0,3000,327
0,3100,306
0,3200,371
0,3300,358
0,3400,416
0,3500,386
0,3600,363
0,3700,360
0,3800,398
0,3900,475
0,4000,403
0,4100,413
0,4200,430
0,4300,442
0,4400,455
0,4500,468
0,4600,489
0,4700,495
0,4800,515
0,4900,515
0,5000,543
0,5100,540
0,5200,541
0,5300,555
0,5400,612
0,5500,591
0,5600,649
0,5700,596
0,5800,641
0,5900,629
0,6000,691
0,6100,658
0,6200,653
0,6300,773
0,6400,695
0,6500,778
0,6600,723
0,6700,760
0,6800,807
0,6900,770
0,7000,801
0,7100,863
0,7200,865
0,7300,935
0,7400,971
0,7500,1002
0,7600,1008
0,7700,1025
0,7800,1051
0,7900,1072
0,8000,1056
0,8100,1085
0,8200,1085
0,8300,1089
0,8400,1173
0,8500,1212
0,8600,1132
0,8700,1382
0,8800,1209
0,8900,1241
0,9000,1180
0,9100,1161
0,9200,1214
0,9300,1202
0,9400,1390
0,9500,1223
0,9600,1402
0,9700,1464
0,9800,1387
0,9900,1467
0,10000,1463
1,100,2
1,200,4
1,300,6
1,400,9
1,500,12
1,600,15
1,700,18
1,800,20
1,900,22
1,1000,21
1,1100,55
1,1200,84
1,1300,87
1,1400,106
1,1500,111
1,1600,121
1,1700,122
1,1800,152
1,1900,159
1,2000,147
1,2100,175
1,2200,166
1,2300,202
1,2400,206
1,2500,218
1,2600,220
1,2700,238
1,2800,252
1,2900,251
1,3000,278
1,3100,344
1,3200,300
1,3300,317
1,3400,322
1,3500,318
1,3600,409
1,3700,365
1,3800,386
1,3900,386
1,4000,488
1,4100,416
1,4200,432
1,4300,437
1,4400,436
1,4500,468
1,4600,486
1,4700,499
1,4800,486
1,4900,517
1,5000,535
1,5100,564
1,5200,569
1,5300,592
1,5400,550
1,5500,740
1,5600,618
1,5700,671
1,5800,620
1,5900,645
1,6000,708
1,6100,667
1,6200,703
1,6300,756
1,6400,697
1,6500,735
1,6600,770
1,6700,832
1,6800,756
1,6900,790
1,7000,836
1,7100,881
1,7200,894
1,7300,925
1,7400,905
1,7500,1000
1,7600,1000
1,7700,980
1,7800,1030
1,7900,1047
1,8000,995
1,8100,1041
1,8200,1030
1,8300,1190
1,8400,1106
1,8500,1174
1,8600,1087
1,8700,1503
1,8800,1214
1,8900,1222
1,9000,1289
1,9100,1182
1,9200,1551
1,9300,1267
1,9400,1500
1,9500,1375
1,9600,1473
1,9700,1542
1,9800,1587
1,9900,1426
1,10000,1331
2,100,3
2,200,5
2,300,6
2,400,10
2,500,12
2,600,15
2,700,20
2,800,17
2,900,22
2,1000,26
2,1100,54
2,1200,83
2,1300,86
2,1400,106
2,1500,106
2,1600,121
2,1700,131
2,1800,142
2,1900,153
2,2000,158
2,2100,164
2,2200,179
2,2300,196
2,2400,198
2,2500,212
2,2600,217
2,2700,235
2,2800,247
2,2900,260
2,3000,252
2,3100,525
2,3200,329
2,3300,370
2,3400,362
2,3500,369
2,3600,451
2,3700,378
2,3800,385
2,3900,383
2,4000,478
2,4100,416
2,4200,428
2,4300,441
2,4400,459
2,4500,446
2,4600,487
2,4700,491
2,4800,506
2,4900,522
2,5000,529
2,5100,555
2,5200,543
2,5300,588
2,5400,542
2,5500,649
2,5600,589
2,5700,634
2,5800,617
2,5900,638
2,6000,715
2,6100,650
2,6200,702
2,6300,763
2,6400,698
2,6500,731
2,6600,790
2,6700,829
2,6800,755
2,6900,745
2,7000,828
2,7100,861
2,7200,883
2,7300,916
2,7400,1013
2,7500,949
2,7600,1003
2,7700,1011
2,7800,1043
2,7900,999
2,8000,1201
2,8100,1045
2,8200,998
2,8300,1165
2,8400,1102
2,8500,1144
2,8600,1074
2,8700,1483
2,8800,1182
2,8900,1118
2,9000,1267
2,9100,1171
2,9200,1232
2,9300,1345
2,9400,1345
2,9500,1283
2,9600,1395
2,9700,1336
2,9800,1518
2,9900,1451
2,10000,1496
